invoice_id,client_id,client_industry,invoice_amount,payment_terms_days,invoice_day_of_week,invoice_day_of_month,invoice_month,days_since_invoice_sent,client_avg_days_to_pay,client_late_payment_rate,client_total_invoices_before_this,amount_vs_client_avg,is_repeat_client,payment_status
INV-10001,CL-1000,Design,28600.0,30,2,7,11,34,23.0,0.05,0,1.19,False,on_time
INV-10002,CL-1001,Development,150500.0,45,5,3,10,81,14.4,0.05,0,1.25,False,late
INV-10003,CL-1002,Marketing,51600.0,45,1,6,8,48,17.9,0.05,0,0.92,False,on_time
INV-10004,CL-1003,Consulting,180800.0,45,5,18,4,87,17.1,0.05,0,1.74,False,late
INV-10005,CL-1004,Photography,33900.0,15,1,27,1,40,56.0,0.167,0,0.85,False,late
INV-10006,CL-1005,Copywriting,34000.0,15,1,19,12,40,23.5,0.05,0,0.85,False,late
INV-10007,CL-1006,Design,95800.0,30,3,21,8,18,58.4,0.333,0,1.09,False,on_time
INV-10008,CL-1007,Development,61200.0,15,5,18,9,33,33.0,0.167,0,0.55,False,on_time
INV-10009,CL-1008,Marketing,145900.0,30,4,13,6,28,19.9,0.05,0,0.7,False,on_time
INV-10010,CL-1009,Consulting,46600.0,15,4,16,2,6,14.4,0.05,0,0.73,False,on_time
INV-10011,CL-1010,Photography,106900.0,15,5,6,11,54,48.3,0.9,0,1.67,False,late
INV-10012,CL-1011,Copywriting,73700.0,30,3,20,8,67,21.1,0.05,0,1.02,False,very_late
INV-10013,CL-1012,Design,52900.0,45,6,1,11,14,14.4,0.05,0,0.83,False,on_time
INV-10014,CL-1013,Development,16000.0,45,6,9,11,43,67.0,0.9,0,0.67,False,very_late
INV-10015,CL-1014,Marketing,129700.0,30,1,15,1,33,23.1,0.05,0,0.81,False,on_time
INV-10016,CL-1015,Consulting,71300.0,15,4,4,11,38,21.6,0.05,0,0.81,False,late
INV-10017,CL-1016,Photography,79600.0,45,4,7,3,47,17.1,0.05,0,0.99,False,on_time
INV-10018,CL-1017,Copywriting,32000.0,45,6,17,1,76,22.2,0.05,0,1.33,False,late
INV-10019,CL-1018,Design,172100.0,15,0,12,5,30,25.3,0.05,0,1.08,False,on_time
INV-10020,CL-1019,Development,15100.0,45,0,3,12,62,45.1,0.9,0,0.63,False,late
INV-10021,CL-1020,Marketing,372900.0,45,6,5,3,84,25.3,0.05,0,1.29,False,very_late
INV-10022,CL-1021,Consulting,92200.0,45,1,9,9,77,55.5,0.5,0,0.96,False,very_late
INV-10023,CL-1022,Photography,14300.0,15,4,25,12,88,18.8,0.05,0,0.6,False,very_late
INV-10024,CL-1023,Copywriting,74900.0,30,3,22,11,47,16.2,0.05,0,0.85,False,on_time
INV-10025,CL-1024,Design,252600.0,45,3,4,4,28,27.4,0.05,0,1.13,False,on_time
INV-10026,CL-1025,Development,161300.0,15,4,18,4,75,18.7,0.05,0,1.12,False,very_late
INV-10027,CL-1026,Marketing,132600.0,15,5,21,1,29,15.3,0.05,0,0.79,False,late
INV-10028,CL-1027,Consulting,23000.0,15,6,11,2,65,46.5,0.833,0,1.44,False,very_late
INV-10029,CL-1028,Photography,178900.0,45,3,7,9,16,25.9,0.05,0,0.75,False,on_time
INV-10030,CL-1029,Copywriting,179700.0,45,4,16,4,60,22.5,0.05,0,1.12,False,on_time
INV-10031,CL-1030,Design,296000.0,15,0,4,11,55,25.3,0.05,0,0.85,False,very_late
INV-10032,CL-1031,Development,92300.0,30,3,28,12,6,24.2,0.05,0,0.68,False,on_time
INV-10033,CL-1032,Marketing,31900.0,45,0,2,7,43,53.0,0.167,0,1.33,False,on_time
INV-10034,CL-1033,Consulting,341300.0,15,1,7,4,68,27.6,0.05,0,0.98,False,very_late
INV-10035,CL-1034,Photography,163400.0,30,1,9,8,31,19.3,0.05,0,1.13,False,on_time
INV-10036,CL-1035,Copywriting,245100.0,15,3,26,9,12,21.7,0.05,0,1.13,False,very_late
INV-10037,CL-1036,Design,345600.0,45,6,1,2,30,25.6,0.05,0,0.99,False,late
INV-10038,CL-1037,Development,57600.0,30,3,7,7,7,22.7,0.05,0,0.4,False,on_time
INV-10039,CL-1038,Marketing,230900.0,15,3,9,8,36,26.1,0.05,0,1.03,False,late
INV-10040,CL-1039,Consulting,41300.0,45,6,18,11,62,38.9,0.167,0,1.03,False,on_time
INV-10041,CL-1040,Photography,44400.0,30,1,2,10,69,23.9,0.05,0,0.93,False,very_late
INV-10042,CL-1041,Copywriting,308600.0,30,0,2,10,61,45.7,0.167,0,1.68,False,late
INV-10043,CL-1042,Design,96500.0,45,1,2,9,10,34.7,0.167,0,0.75,False,on_time
INV-10044,CL-1043,Development,187400.0,15,4,3,11,30,18.1,0.05,0,1.38,False,on_time
INV-10045,CL-1044,Marketing,132900.0,45,1,19,10,5,46.2,0.167,0,0.83,False,on_time
INV-10046,CL-1045,Consulting,74500.0,30,5,19,10,66,17.3,0.05,0,1.03,False,very_late
INV-10047,CL-1046,Photography,18800.0,30,1,22,12,40,63.5,0.833,0,0.78,False,very_late
INV-10048,CL-1047,Copywriting,104600.0,30,1,22,11,38,17.9,0.05,0,0.87,False,on_time
INV-10049,CL-1048,Design,257300.0,15,0,15,10,72,22.9,0.05,0,1.11,False,very_late
INV-10050,CL-1049,Development,350600.0,15,4,7,9,33,19.1,0.05,0,1.0,False,on_time
INV-10051,CL-1000,Design,14600.0,30,0,8,6,36,23.0,0.05,1,0.61,True,on_time
INV-10052,CL-1001,Development,106400.0,45,5,10,10,83,14.4,0.05,1,0.89,True,very_late
INV-10053,CL-1002,Marketing,52900.0,45,6,18,5,84,17.9,0.05,1,0.94,True,very_late
INV-10054,CL-1003,Consulting,201300.0,15,2,4,2,70,17.1,0.05,1,1.94,True,late
INV-10055,CL-1004,Photography,43800.0,30,4,7,12,43,56.0,0.167,1,1.09,True,on_time
INV-10056,CL-1005,Copywriting,20400.0,45,6,9,9,62,23.5,0.05,1,0.51,True,on_time
INV-10057,CL-1006,Design,89900.0,15,0,21,7,35,58.4,0.333,1,1.02,True,very_late
INV-10058,CL-1007,Development,104700.0,30,6,5,11,33,33.0,0.167,1,0.93,True,late
INV-10059,CL-1008,Marketing,205500.0,30,4,23,7,71,19.9,0.05,1,0.99,True,very_late
INV-10060,CL-1009,Consulting,95500.0,15,5,5,9,4,14.4,0.05,1,1.49,True,on_time
INV-10061,CL-1010,Photography,84400.0,45,4,5,7,16,48.3,0.9,1,1.32,True,very_late
INV-10062,CL-1011,Copywriting,117600.0,30,6,28,1,45,21.1,0.05,1,1.63,True,on_time
INV-10063,CL-1012,Design,78600.0,15,5,4,6,71,14.4,0.05,1,1.23,True,very_late
INV-10064,CL-1013,Development,17000.0,30,4,24,3,30,67.0,0.9,1,0.71,True,on_time
INV-10065,CL-1014,Marketing,165700.0,15,3,1,3,42,23.1,0.05,1,1.04,True,late
INV-10066,CL-1015,Consulting,51100.0,30,6,22,12,31,21.6,0.05,1,0.58,True,on_time
INV-10067,CL-1016,Photography,55200.0,45,0,13,1,60,17.1,0.05,1,0.69,True,on_time
INV-10068,CL-1017,Copywriting,17400.0,30,2,10,4,28,22.2,0.05,1,0.72,True,very_late
INV-10069,CL-1018,Design,121600.0,15,3,11,5,8,25.3,0.05,1,0.76,True,on_time
INV-10070,CL-1019,Development,31900.0,30,2,21,9,51,45.1,0.9,1,1.33,True,late
INV-10071,CL-1020,Marketing,311900.0,45,2,1,2,33,25.3,0.05,1,1.08,True,on_time
INV-10072,CL-1021,Consulting,54700.0,30,0,4,10,55,55.5,0.5,1,0.57,True,very_late
INV-10073,CL-1022,Photography,26300.0,30,3,20,9,14,18.8,0.05,1,1.1,True,on_time
INV-10074,CL-1023,Copywriting,57100.0,45,1,9,1,90,16.2,0.05,1,0.65,True,very_late
INV-10075,CL-1024,Design,268900.0,45,6,18,11,85,27.4,0.05,1,1.2,True,very_late
INV-10076,CL-1025,Development,157200.0,30,0,22,6,79,18.7,0.05,1,1.09,True,very_late
INV-10077,CL-1026,Marketing,132400.0,15,5,10,9,39,15.3,0.05,1,0.79,True,late
INV-10078,CL-1027,Consulting,17700.0,30,3,23,5,70,46.5,0.833,1,1.11,True,very_late
INV-10079,CL-1028,Photography,461100.0,30,5,13,11,22,25.9,0.05,1,1.92,True,on_time
INV-10080,CL-1029,Copywriting,105400.0,30,3,18,1,38,22.5,0.05,1,0.66,True,on_time
INV-10081,CL-1030,Design,248800.0,30,6,19,10,83,25.3,0.05,1,0.71,True,very_late
INV-10082,CL-1031,Development,204000.0,30,3,22,4,65,24.2,0.05,1,1.5,True,late
INV-10083,CL-1032,Marketing,33600.0,45,1,22,2,36,53.0,0.167,1,1.4,True,on_time
INV-10084,CL-1033,Consulting,466700.0,45,4,11,2,30,27.6,0.05,1,1.33,True,on_time
INV-10085,CL-1034,Photography,132100.0,15,6,7,3,3,19.3,0.05,1,0.92,True,late
INV-10086,CL-1035,Copywriting,158200.0,30,4,28,2,58,21.7,0.05,1,0.73,True,late
INV-10087,CL-1036,Design,340700.0,45,4,7,12,89,25.6,0.05,1,0.97,True,very_late
INV-10088,CL-1037,Development,158600.0,30,1,5,11,88,22.7,0.05,1,1.1,True,very_late
INV-10089,CL-1038,Marketing,225000.0,15,6,14,4,22,26.1,0.05,1,1.0,True,on_time
INV-10090,CL-1039,Consulting,36500.0,45,4,15,1,71,38.9,0.167,1,0.91,True,late
INV-10091,CL-1040,Photography,59800.0,15,3,5,8,85,23.9,0.05,1,1.25,True,very_late
INV-10092,CL-1041,Copywriting,126500.0,45,4,11,8,78,45.7,0.167,1,0.69,True,late
INV-10093,CL-1042,Design,118400.0,45,3,27,9,57,34.7,0.167,1,0.93,True,on_time
INV-10094,CL-1043,Development,160500.0,45,6,16,8,33,18.1,0.05,1,1.18,True,on_time
INV-10095,CL-1044,Marketing,119000.0,45,2,25,9,62,46.2,0.167,1,0.74,True,on_time
INV-10096,CL-1045,Consulting,61600.0,30,3,3,12,36,17.3,0.05,1,0.86,True,on_time
INV-10097,CL-1046,Photography,25900.0,30,2,18,2,17,63.5,0.833,1,1.08,True,very_late
INV-10098,CL-1047,Copywriting,127500.0,30,5,5,12,27,17.9,0.05,1,1.06,True,late
INV-10099,CL-1048,Design,170300.0,30,2,18,8,53,22.9,0.05,1,0.73,True,late
INV-10100,CL-1049,Development,357200.0,30,3,25,10,89,19.1,0.05,1,1.02,True,very_late
INV-10101,CL-1000,Design,27200.0,45,3,16,1,45,23.0,0.05,2,1.13,True,on_time
INV-10102,CL-1001,Development,175300.0,30,6,27,7,68,14.4,0.05,2,1.46,True,very_late
INV-10103,CL-1002,Marketing,34600.0,45,6,20,4,62,17.9,0.05,2,0.62,True,on_time
INV-10104,CL-1003,Consulting,124500.0,30,3,1,7,43,17.1,0.05,2,1.2,True,on_time
INV-10105,CL-1004,Photography,47900.0,30,5,6,8,16,56.0,0.167,2,1.2,True,on_time
INV-10106,CL-1005,Copywriting,48800.0,45,0,13,10,72,23.5,0.05,2,1.22,True,late
INV-10107,CL-1006,Design,122900.0,15,5,14,3,59,58.4,0.333,2,1.4,True,very_late
INV-10108,CL-1007,Development,100300.0,30,3,11,4,58,33.0,0.167,2,0.9,True,late
INV-10109,CL-1008,Marketing,158700.0,30,2,25,7,32,19.9,0.05,2,0.76,True,on_time
INV-10110,CL-1009,Consulting,54000.0,30,0,24,9,6,14.4,0.05,2,0.84,True,on_time
INV-10111,CL-1010,Photography,143900.0,30,1,21,2,83,48.3,0.9,2,2.25,True,very_late
INV-10112,CL-1011,Copywriting,91500.0,15,1,7,1,79,21.1,0.05,2,1.27,True,very_late
INV-10113,CL-1012,Design,54300.0,15,3,22,2,72,14.4,0.05,2,0.85,True,very_late
INV-10114,CL-1013,Development,24500.0,30,5,9,6,21,67.0,0.9,2,1.02,True,very_late
INV-10115,CL-1014,Marketing,124600.0,45,5,4,3,39,23.1,0.05,2,0.78,True,on_time
INV-10116,CL-1015,Consulting,68100.0,15,2,19,11,48,21.6,0.05,2,0.77,True,late
INV-10117,CL-1016,Photography,81300.0,45,1,3,10,88,17.1,0.05,2,1.02,True,very_late
INV-10118,CL-1017,Copywriting,50800.0,15,0,23,5,87,22.2,0.05,2,2.12,True,very_late
INV-10119,CL-1018,Design,78800.0,15,6,19,1,44,25.3,0.05,2,0.49,True,late
INV-10120,CL-1019,Development,19000.0,45,2,3,9,82,45.1,0.9,2,0.79,True,very_late
INV-10121,CL-1020,Marketing,218200.0,30,6,16,2,55,25.3,0.05,2,0.76,True,late
INV-10122,CL-1021,Consulting,114600.0,45,6,15,12,19,55.5,0.5,2,1.19,True,very_late
INV-10123,CL-1022,Photography,15800.0,45,4,21,5,78,18.8,0.05,2,0.66,True,late
INV-10124,CL-1023,Copywriting,74500.0,45,6,16,8,55,16.2,0.05,2,0.85,True,on_time
INV-10125,CL-1024,Design,415500.0,45,2,11,4,11,27.4,0.05,2,1.85,True,on_time
